(más, 1 2 )
(drive, 3 )
(todos, 2 )
(cedric, 1 )
(causado, 1 )
(resto, 1 2 )
(mochila, 2 )
(muggles, 3 )
(reconoció, 1 )
(“apoyen, 1 )
(enfadada, 3 )
(ser, 2 )
(buscando, 1 3 )
(examinó, 2 )
(tío, 2 )
(invisibilidad, 2 )
(recordado, 3 )
(sabía, 3 )
(basura, 2 3 )
(cama, 2 )
(pergaminos, 2 )
(permitía, 3 )
(cuarto, 1 )
(mellado, 2 )
(potter, 1 )
(particular, 3 )
(profeta, 2 )
(afilado, 1 )
(otra, 2 )
(mano, 1 )
(sueltos, 1 )
(dejaba, 3 )
(minutos, 1 )
(dentro, 1 )
(resquebrajado, 1 )
(tiempo, 3 )
(tía, 2 )
(vaciarlo, 2 )
(debido, 2 )
(fuera, 3 )
(equipo, 2 )
(finalmente, 1 )
(charity, 3 )
(merodeador, 2 )
(coloco, 2 )
(texto, 2 )
(quedaba, 1 )
(página, 3 )
(profunda, 1 )
(final, 3 )
(años, 1 )
(cartas, 2 )
(varios, 1 )
(una, 1 2 3 )
(puso, 2 )
(colegio, 1 2 )
(encantado, 1 )
(partes, 1 )
(mención, 3 )
(hundió, 3 )
(retirar, 1 )
(hora, 2 )
(daño, 1 )
(quidditch, 2 )
(montón, 1 )
(brillantes, 2 )
(estado, 1 3 )
(tocado, 1 )
(artículo, 3 )
(gastado, 1 )
(momento, 3 )
(cuidado, 1 )
(leer, 2 )
(horrendo, 2 )
(lugar, 2 )
(las, 1 2 )
(encontró, 3 )
(restos, 1 )
(nostalgia, 2 )
(descansaba, 2 )
(jaula, 3 )
(dejando, 1 )
(silla, 3 )
(cautamente, 1 )
(salvo, 1 )
(harry, 1 2 3 )
(otorgado, 2 )
(habían, 2 )
(amargos, 2 )
(harían, 2 )
(débilmente, 1 )
(fueran, 2 )
(obtenerlo, 2 )
(procedió, 1 )
(le, 1 2 3 )
(baúl, 1 2 )
(pilas, 2 )
(dejados, 2 )
(mapa, 2 )
(sentidos, 2 )
(valor, 2 )
(visto, 1 )
(uno, 3 )
(punzante, 1 )
(nada, 1 2 )
(capa, 1 2 )
(puñaladas, 2 )
(contener, 2 )
(acuerdo, 2 )
(pociones, 2 )
(escritorio, 3 )
(obsequiado, 2 )
(fabricar, 2 )
(enseguida, 1 )
(roto, 2 )
(altas, 2 )
(sirius, 1 )
(seis, 1 )
(renovado, 1 )
(hedwig, 3 )
(probablemente, 2 )
(uniformes, 2 )
(estiró, 3 )
(cruzó, 3 )
(profesora, 3 )
(nuevamente, 2 )
(servían, 1 )
(algo, 1 )
(comienzo, 1 )
(ocasionado, 2 )
(cortado, 2 )
(estudios, 3 )
(añoranza, 2 )
