(regalo, 1 )
(visto, 1 )
(para, 2 )
(descubrimiento, 2 )
(uniformes, 2 )
(arena, 1 )
(tante„≥, 1 )
(charity, 3 )
(mano, 1 )
(harry, 1 2 3 )
(valor, 2 )
(pedazo, 2 )
(tirar, 2 )
(suelo,, 3 )
(profeta, 2 )
(ahora, 1 )
(limitada, 3 )
(resquebrajado, 1 )
(bolsillo, 2 )
(hab„≠an, 2 )
(t„≠a, 2 )
(„°lbum, 2 )
(noche, 2 )
(buscando., 3 )
(pero, 1 )
(coloco, 2 )
(estaba, 3 )
(primera, 1 3 )
(hedwig., 3 )
(sacarla, 1 )
(afilado, 1 )
(relicario, 1 2 )
(pulverizado, 1 )
(mochila., 2 )
(considerable, 3 )
(fondo, 1 3 )
(horas, 2 )
(a, 1 2 3 )
(restos., 1 )
(sin, 2 )
(flujo, 2 )
(momento, 3 )
(hasta, 1 )
(restos, 1 )
(art„≠culo, 3 )
(profunda, 1 )
(o, 1 2 3 )
(que, 1 2 3 )
(nuevamente, 2 )
(leer,, 2 )
(propios, 2 )
(ba„∫l, 1 )
(brillante, 1 )
(se, 1 2 3 )
(potter, 1 )
(si, 2 )
(cuartas, 1 )
(‚Äìera, 2 )
(acercaba, 3 )
(dedo, 1 )
(examin„≥, 2 )
(hundido, 1 )
(fotos, 2 )
(su, 1 2 3 )
(sus, 2 )
(r.a.b., 2 )
(cuarto, 1 )
(padrino,, 1 )
(nevada, 3 )
(cedric, 1 )
(escarabajo, 1 )
(antes, 1 )
(otorgado, 2 )
(cruz„≥, 3 )
(d„©bilmente, 1 )
(gastado, 1 )
(nota, 1 2 )
(disecados,, 1 )
(costado, 2 )
(superiores, 1 )
(estado, 1 3 )
(pociones,, 2 )
(habido, 3 )
(hab„≠a, 1 2 3 )
(buscando, 1 3 )
(clasificar, 2 )
(escondida,, 1 )
(peque„±a, 3 )
(salvo, 1 )
(completamente,, 2 )
(preguntaba, 2 )
(encantado, 1 )
(contener, 2 )
(estir„≥, 3 )
(quedaba, 1 )
(resto, 2 )
(largo, 1 )
(cama, 2 )
(estudios, 3 )
(escritorio,, 3 )
(un, 1 2 3 )
(escritorio., 3 )
(atacando, 2 )
(delantero, 2 )
(tiempo, 3 )
(porquer„≠a,, 1 )
(plumas,, 1 )
(sino, 2 )
(habitaci„≥n, 3 )
(puso, 2 )
(libros, 2 )
(esto, 3 )
(recuerdos,, 2 )
(sobre, 2 3 )
(r.a.b, 1 )
(hedwig, 3 )
(desde, 1 )
(intent„≥, 2 )
(privet, 3 )
(sueltos, 1 )
(mayor„≠a, 2 )
(sido, 2 )
(lechuza,, 3 )
(uno., 3 )
(sab„≠a, 3 )
(roto, 2 )
(pilas, 2 )
(movimiento, 3 )
(lado, 1 3 )
(la, 1 2 3 )
(reflejados, 2 )
(levant„≥, 3 )
(le, 1 2 3 )
(dejando, 1 )
(pila, 3 )
(cada, 3 )
(al, 1 2 3 )
(libros,, 2 )
(apenas, 1 )
(los, 1 2 3 )
(lo, 1 2 3 )
(verdes, 2 )
(viejas, 1 )
(varita, 2 )
(pu„±aladas, 2 )
(cautamente, 1 )
(da„±o., 1 )
(cuidado., 1 )
(empacado, 1 )
(descubri„≥, 1 )
(tocado, 1 )
(„∫ltimo, 1 )
(uno, 3 )
(hagrid, 2 )
(cosas, 2 )
(por, 1 3 )
(adher„≠a, 1 )
(ocasionado,, 2 )
(como, 1 2 )
(capa, 1 2 )
(basura, 2 3 )
(muerto,, 1 )
(alg„∫n, 2 )
(era, 1 )
(mientras, 3 )
(hogwarts., 3 )
(partes, 1 )
(a„±os, 1 )
(reconoci„≥, 1 )
(dormida,, 3 )
(cuando, 3 )
(burbage,, 3 )
(ya, 1 )
(espejo, 1 2 )
(renovado,, 1 )
(otra, 2 )
(nostalgia, 2 )
(borde, 1 )
(no, 1 2 3 )
(dejo, 1 )
(dumbledore, 3 )
(esa, 1 2 )
(vieja, 1 2 )
(ese, 2 3 )
(apesta‚Äù,, 1 )
(fajo, 3 )
(invisibilidad,, 2 )
(altas, 2 )
(algunos, 2 )
(hora, 2 )
(de, 1 2 3 )
(ver, 2 )
(punzante, 1 )
(pasado, 1 3 )
(quemarlos, 2 )
(brillantes, 2 )
(sirius,, 1 )
(profesora, 3 )
(fueron, 2 )
(fabricar, 2 )
(reley„≥, 3 )
(acuerdo, 2 )
(poco, 3 )
(experimentando, 1 )
(causado, 1 )
(cortado,, 2 )
(debido, 2 )
(ba„∫l., 2 )
(dado., 1 )
(lechuza, 3 )
(seis, 1 )
(jaula., 3 )
(dejaba, 3 )
(caldero,, 2 )
(atr„°s,, 1 )
(dentro, 1 )
(colegio, 1 2 )
(cantidad, 3 )
(en, 1 2 3 )
(obtenerlo., 2 )
(resto,, 1 )
(a„±oranza, 2 )
(algo, 1 )
